gid,jud_code,jud_id,jud_lbl,jud_name,colsen,nume,prezenta,rebel,id_partid,partid,abv_partid
78,HR,21.0000000000,HARGHITA,JUDE?ÜUL HARGHITA,2,Attila Verest??y,25.2000000000,2.1100000000,38.0000000000,UNIUNEA DEMOCRAT?é MAGHIAR?é DIN ROM?éNIA,UDMR
79,IF,25.0000000000,ILFOV,JUDE?ÜUL ILFOV,1,Anghel Iord?ânescu,52.3100000000,0.0000000000,999.0000000000,CANDIDAT INDEPENDENT,CI
80,IF,25.0000000000,ILFOV,JUDE?ÜUL ILFOV,2,Iulian Urban,91.8900000000,9.2700000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
81,IL,23.0000000000,IALOMI?ÜA,JUDE?ÜUL IALOMI?ÜA,1,Tudor Pan?úuru,64.9600000000,0.7000000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
82,IL,23.0000000000,IALOMI?ÜA,JUDE?ÜUL IALOMI?ÜA,2,Mihaita Gaina,55.8900000000,2.9100000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
83,IS,24.0000000000,IA?ÿI,JUDE?ÜUL IA?ÿI,1,Varujan Vosganian,44.9600000000,2.8100000000,31.0000000000,PARTIDUL NA?ÜIONAL LIBERAL,PNL
84,IS,24.0000000000,IA?ÿI,JUDE?ÜUL IA?ÿI,2,Sorin Constantin Lazar,86.3500000000,5.9100000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
85,IS,24.0000000000,IA?ÿI,JUDE?ÜUL IA?ÿI,3,Florian Constantinescu,81.3400000000,3.1900000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
86,IS,24.0000000000,IA?ÿI,JUDE?ÜUL IA?ÿI,4,Mihaela Popa,72.3100000000,2.7400000000,31.0000000000,PARTIDUL NA?ÜIONAL LIBERAL,PNL
87,IS,24.0000000000,IA?ÿI,JUDE?ÜUL IA?ÿI,5,Dumitru Oprea,90.8800000000,4.1300000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
88,MH,27.0000000000,MEHEDIN?ÜI,JUDE?ÜUL MEHEDIN?ÜI,1,Mihai St?âni?ƒoar?â,17.0400000000,1.6500000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
89,MH,27.0000000000,MEHEDIN?ÜI,JUDE?ÜUL MEHEDIN?ÜI,2,Petre Daea,58.6600000000,2.6500000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
90,MM,26.0000000000,MARAMURE?ÿ,JUDE?ÜUL MARAMURE?ÿ,1,Liviu Titus Pasca,88.8800000000,1.2000000000,31.0000000000,PARTIDUL NA?ÜIONAL LIBERAL,PNL
91,MM,26.0000000000,MARAMURE?ÿ,JUDE?ÜUL MARAMURE?ÿ,2,Marius Sorin Ovidiu Bota,42.7700000000,11.5300000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
92,MM,26.0000000000,MARAMURE?ÿ,JUDE?ÜUL MARAMURE?ÿ,3,Gheorghe B?«rlea,79.6700000000,1.0600000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
93,MS,28.0000000000,MURE?ÿ,JUDE?ÜUL MURE?ÿ,1,Gy??rgy Frunda,32.4600000000,3.6300000000,38.0000000000,UNIUNEA DEMOCRAT?é MAGHIAR?é DIN ROM?éNIA,UDMR
94,MS,28.0000000000,MURE?ÿ,JUDE?ÜUL MURE?ÿ,2,Mark?? B??la,16.8000000000,2.4600000000,38.0000000000,UNIUNEA DEMOCRAT?é MAGHIAR?é DIN ROM?éNIA,UDMR
95,MS,28.0000000000,MURE?ÿ,JUDE?ÜUL MURE?ÿ,3,Petru Ba?Öa,59.6700000000,3.3300000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
96,MS,28.0000000000,MURE?ÿ,JUDE?ÜUL MURE?ÿ,4,Corneliu Grosu,67.8800000000,0.0000000000,999.0000000000,CANDIDAT INDEPENDENT,CI
97,NT,29.0000000000,NEAM?Ü,JUDE?ÜUL NEAM?Ü,1,Toader Mocanu,85.5400000000,1.7700000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
98,NT,29.0000000000,NEAM?Ü,JUDE?ÜUL NEAM?Ü,2,Ioan Chelaru,36.9500000000,2.5900000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
99,NT,29.0000000000,NEAM?Ü,JUDE?ÜUL NEAM?Ü,3,Ovidius Marcutianu,47.8300000000,0.0000000000,999.0000000000,CANDIDAT INDEPENDENT,CI
